Band	Genre	Status	City	State
:Nihus:	Depressive Black Metal	Active	São Paulo	São Paulo
...Do Fundo... Abismo	Death/Doom Metal	Active	Manaus	Amazonas
...from the Abyss	Death Metal	Active	São Luís	Maranhão
.mt	Post-Black Metal	Unknown	São Paulo	São Paulo
[Maua]	Technical Death Metal	Active	Aracaju	Sergipe
0-Nun	Atmospheric Black Metal	Active	Pernambuco	
100 Dogmas	Groove Metal/Hard Rock	Active	Blumenau	Santa Catarina
12 Degrees of Saturation	Heavy Metal/Hard Rock	Active	São Paulo	São Paulo
13	Doom Metal	Split-up	Catanduva	São Paulo
14/88	Raw Black Metal/Noise	Active	São Paulo	São Paulo
3 Caveiras	Black Metal/Grindcore	Active	Catanduva	São Paulo
4Banned	Death/Thrash Metal	Active	Fortaleza	Ceará
7 Dias de Massacre	Grindcore/Crust Punk	Split-up	Recife	Pernambuco
7 Peles	Black Metal	Active	Rio de Janeiro	Rio de Janeiro
7th Guest	Thrash/Heavy Metal	Active	São Paulo	São Paulo
7th Symphony	Symphonic Progressive Metal	Split-up	Paranavaí	Paraná
888	Raw Black Metal/RAC	Split-up		
A Dead Poem	Doom/Black/Gothic Metal	Active	Nova Friburgo	Rio de Janeiro
A Pinga e o Diabo	Southern/Groove Metal	Active	São Paulo	São Paulo
A Plague	Black Metal	Active	São Paulo	São Paulo
A Raiva	Metalcore	Active	Belo Horizonte	Minas Gerais
A Red Nightmare	Deathcore	Active	Belém	Pará
A Season in Hell	Progressive/Death Metal	Changed name	Uberlândia	Minas Gerais
A Sorrowful Dream	Gothic/Doom/Death Metal	Active	Porto Alegre	Rio Grande do Sul
A Tribute to the Plague	Power/Doom Metal	Changed name	Curitiba	Paraná
A Trigger to Forget	Melodic Death/Thrash Metal	Split-up	Fortaleza	Ceará
A Void Named Life	Death/Doom Metal	Active	Nova Friburgo	Rio de Janeiro
A Walloping Curse	Death Metal	Active	Recife	Pernambuco
A.N.T.I.L.I.V.	Black Metal	Unknown	Ponta Grossa	Paraná
Aamonblut	Raw Black Metal	Active		Santa Catarina
Aamonhammer	Black/Thrash Metal	Split-up	Belo Horizonte	Minas Gerais
Aasimon	Heavy Metal	Active	Niterói	Rio de Janeiro
Aasverus	Funeral Doom Metal	Active	Belo Horizonte	Minas Gerais
Aavah	Gothic/Power Metal	Split-up	São Paulo	São Paulo
Abaddon	Black Metal/Ambient	Active	Juiz de Fora	Minas Gerais
Abaddon	Death Metal	Split-up	Vitória	Espírito Santo
Abaddon	Black Metal	Split-up	Paraiba	
Abadom	Death/Thrash Metal	Split-up	Barra do Garças	Mato Grosso do Sul
Abadon	Black Metal	Active	Curitiba	Paraná
Abandono	Depressive Black Metal	Active	Santa Catarina	
Abantesma	Death Metal	Split-up	Vitória	Espírito Santo
Abasbaron	Black/Death Metal	Active	Belo Horizonte	Minas Gerais
Abate	Pagan Black Metal	Active	São Francisco Xavier	São Paulo
Abate Macabro	Black Metal	Active	Bento Gonçalves	Rio Grande do Sul
Abatter	Heavy/Thrash Metal	On hold	Florianópolis	Santa Catarina
Abattoir	Black Metal	Active		
Abbatoir	Death Metal	Changed name	Joinville	Santa Catarina
Abdicated	Death Metal	Active	São Carlos	São Paulo
Abductions	Black/Death Metal	Active	Porto Alegre	Rio Grande do Sul
Abeastnence	Heavy/Thrash Metal	Unknown	Laguna	Santa Catarina
Aberratio	Death Metal	Active	Poços de Caldas	Minas Gerais
Aberration	Black/Death Metal	Active	Ourinhos	São Paulo
Abhor	Death Metal	Split-up	São Paulo	São Paulo
Abhorred Devil	Black Metal	Active	Maceió	Alagoas
Abhorrence	Death Metal	Split-up	São José do Rio Preto	São Paulo
Abhorrent	Thrash/Groove Metal	Split-up	Brasília	Distrito Federal
