Country of origin	Location	Status	Formed in	Genre	Themes	Current label	Years active	url
Brazil	São Paulo, São Paulo	Active	2014	Depressive Black Metal	Depression, Suicide, Despair, Sadness	Depressive Illusions Records	2014-present	https://www.metal-archives.com/bands/%3ANihus%3A/3540404191
Brazil	Manaus, Amazonas	Active	2007	Death/Doom Metal	Depression, Death	Bosque Produções	2007-present	https://www.metal-archives.com/bands/...Do_Fundo..._Abismo/3540326997
Brazil	São Luís, Maranhão	Active	2015	Death Metal	Lovecraftian mythos, Cosmic horror, Death	Metal Island	2015-present	https://www.metal-archives.com/bands/...from_the_Abyss/3540443406
Brazil	São Paulo, São Paulo	Unknown	N/A	Post-Black Metal	Instrumental	Unsigned/independent	N/A	https://www.metal-archives.com/bands/.mt/3540465411
Brazil	Aracaju, Sergipe	Active	2004	Technical Death Metal	The human mind/thoughts, Confusion, Personal issues	Unsigned/independent	2004-present	https://www.metal-archives.com/bands/%5BMaua%5D/3540351425
Brazil	Pernambuco	Active	2020	Atmospheric Black Metal	Void, Nothingness, Cosmic, Philosophy	Unsigned/independent	2020-present	https://www.metal-archives.com/bands/0-Nun/3540471393
Brazil	Blumenau, Santa Catarina	Active	2018	Groove Metal/Hard Rock	Inner struggles, Society	Unsigned/independent	2018-present	https://www.metal-archives.com/bands/100_Dogmas/3540447570
Brazil	São Paulo, São Paulo	Active	N/A	Heavy Metal/Hard Rock	Instrumental	Unsigned/independent	N/A	https://www.metal-archives.com/bands/12_Degrees_of_Saturation/3540510701
Brazil	Catanduva, Sâo Paulo	Split-up	2017	Doom Metal	Instrumental	Unsigned/independent	2017	https://www.metal-archives.com/bands/13/3540507252
Brazil	São Paulo, São Paulo	Active	N/A	Raw Black Metal/Noise	White pride, National Socialism, Aryanism	Cvlminis	N/A	https://www.metal-archives.com/bands/14-88/3540415576
Brazil	Catanduva, Sâo Paulo	Active	2023	Black Metal/Grindcore	N/A	Unsigned/independent	2023-present	https://www.metal-archives.com/bands/3_Caveiras/3540524368
Brazil	Fortaleza, Ceará	Active	2015	Death/Thrash Metal	depression, schizophrenia, violence, politics, religion, war, oppression	WormHoleDeath	2015-present	https://www.metal-archives.com/bands/4Banned/3540541247
Brazil	Recife, Pernambuco	Split-up	2008	Grindcore/Crust Punk	N/A	Unsigned/independent	2008-?	https://www.metal-archives.com/bands/7_Dias_de_Massacre/3540542225
Brazil	Rio de Janeiro, Rio de Janeiro	Active	2016	Black Metal	N/A	Mutilation Productions	2016-present	https://www.metal-archives.com/bands/7_Peles/3540427748
Brazil	São Paulo, São Paulo	Active	2011	Thrash/Heavy Metal	N/A	Unsigned/independent	2011-present	https://www.metal-archives.com/bands/7th_Guest/3540410479
Brazil	Paranavaí (early)/Curitiba (later), Paraná	Split-up	2010	Symphonic Progressive Metal	Christianity, Religion, Philosophy, Society (later)	MS Metal Records	2010-?	https://www.metal-archives.com/bands/7th_Symphony/3540372800
Brazil	N/A	Split-up	N/A	Raw Black Metal/RAC	National Socialism	Unsigned/independent	N/A	https://www.metal-archives.com/bands/888/3540513047
Brazil	Nova Friburgo, Rio de Janeiro	Active	2023	Doom/Black/Gothic Metal	Death, Mourning, Misanthropy, Depression, Introspection, Cosmic universe	Personal Records	2023-present	https://www.metal-archives.com/bands/A_Dead_Poem/3540533977
Brazil	São Paulo, São Paulo	Active	2014	Southern/Groove Metal	Alcohol, Life, Violence	Unsigned/independent	2014-present	https://www.metal-archives.com/bands/A_Pinga_e_o_Diabo/3540384834
Brazil	São Paulo, São Paulo	Active	2019	Black Metal	Anti-fascism, Suffering	Unsigned/independent	2019-present	https://www.metal-archives.com/bands/A_Plague/3540473271
Brazil	Belo Horizonte, Minas Gerais	Active	2019	Metalcore	N/A	Unsigned/independent	2019-present	https://www.metal-archives.com/bands/A_Raiva/3540534601
Brazil	Belém, Pará	Active	2010	Deathcore	Pain, Sorrow, Social issues	Unsigned/independent	2010-present	https://www.metal-archives.com/bands/A_Red_Nightmare/3540378280
Brazil	Uberlândia, Minas Gerais	Changed name	2005	Progressive/Death Metal	N/A	Unsigned/independent	2005-2010, 2010-present (as Hollow Ground)	https://www.metal-archives.com/bands/A_Season_in_Hell/115425
Brazil	Porto Alegre, Rio Grande do Sul	Active	1996	Gothic/Doom/Death Metal	Mind reflection, Emotional suffering	Unsigned/independent	1996-present	https://www.metal-archives.com/bands/A_Sorrowful_Dream/11292
Brazil	Curitiba, Paraná	Changed name	1998	Power/Doom Metal	Atheism, Disillusion, Fear, Sorrow	Unsigned/independent	1998-2007, 2007-present (as Archityrants)	https://www.metal-archives.com/bands/A_Tribute_to_the_Plague/8815
Brazil	Fortaleza, Ceará	Split-up	2006	Melodic Death/Thrash Metal	N/A	Unsigned/independent	2006-2013, 2015-2016	https://www.metal-archives.com/bands/A_Trigger_to_Forget/3540292103
Brazil	Nova Friburgo, Rio de Janeiro	Active	2020	Death/Doom Metal	Misanthropy, Decadence, Nihilism, Occultism	Unsigned/independent	2020-present	https://www.metal-archives.com/bands/A_Void_Named_Life/3540546716
Brazil	Recife, Pernambuco	Active	N/A	Death Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/A_Walloping_Curse/3540525094
Brazil	Ponta Grossa, Paraná	Unknown	2019	Black Metal	War, Hate, Misanthropy	Arte Ancestral Records	2019-?	https://www.metal-archives.com/bands/A.N.T.I.L.I.V./3540469239
Brazil	Santa Catarina / Espírito Santo (early); Santa Catarina / Minas Gerais (later)	Active	2023	Raw Black Metal	Paganism, Darkness	Madre Muerte Productions	2023-present	https://www.metal-archives.com/bands/Aamonblut/3540533484
Brazil	Belo Horizonte, Minas Gerais	Split-up	1984	Black/Thrash Metal	Satanism	Cogumelo Records	1984-?	https://www.metal-archives.com/bands/Aamonhammer/2534
Brazil	Niterói, Rio de Janeiro	Active	1996	Heavy Metal	N/A	Unsigned/independent	1996-present	https://www.metal-archives.com/bands/Aasimon/13248
Brazil	Belo Horizonte, Minas Gerais	Active	2002	Funeral Doom Metal	Philosophy, Obscurity	Unsigned/independent	2002-present	https://www.metal-archives.com/bands/Aasverus/3540289873
Brazil	São Paulo, São Paulo	Split-up	2005	Gothic/Power Metal	Christianity	Kidman Estúdio	2005-? (as Aava)	https://www.metal-archives.com/bands/Aavah/88934
Brazil	Juiz de Fora, Minas Gerais	Active	1992	Black Metal/Ambient	Satanism, Occultism	Unsigned/independent	1992-present	https://www.metal-archives.com/bands/Abaddon/3540340537
Brazil	Vitória, Espírito Santo	Split-up	2003	Death Metal	Satanism, Anti-Christianity	Unsigned/independent	2003-2004, 2004 (as Ritus Tenebrum)	https://www.metal-archives.com/bands/Abaddon/17826
Brazil	Paraiba	Split-up	1990	Black Metal	Satanism	Unsigned/independent	1990-?	https://www.metal-archives.com/bands/Abaddon/3540350430
Brazil	Barra do Garças, Mato Grosso do Sul	Split-up	N/A	Death/Thrash Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Abadom/3540535840
Brazil	Curitiba, Paraná	Active	2005	Black Metal	Satanism, Human Hatred	Unsigned/independent	2005-2009, 2021-present	https://www.metal-archives.com/bands/Abadon/3540557051
Brazil	Santa Catarina	Active	2024	Depressive Black Metal	Depression	Unsigned/independent	2024-present	https://www.metal-archives.com/bands/Abandono/3540559208
Brazil	Vitória, Espírito Santo	Split-up	2000	Death Metal	Horror, Gore	Unsigned/independent	2000-2007	https://www.metal-archives.com/bands/Abantesma/24378
Brazil	Belo Horizonte, Minas Gerais	Active	1996	Black/Death Metal	Battle, Paganism, Anti-Christianity	Unsigned/independent	1996-2016, 2018-present	https://www.metal-archives.com/bands/Abasbaron/15885
Brazil	São Francisco Xavier, Sao Paulo	Active	N/A	Pagan Black Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Abate/3540504364
Brazil	Bento Gonçalves, Rio Grande do Sul	Active	2002	Black Metal	Anti-Christianity	Nyarlathotep Records	2002-present	https://www.metal-archives.com/bands/Abate_Macabro/31516
Brazil	Florianópolis, Santa Catarina	On hold	2016	Heavy/Thrash Metal	Serial killers, death, murders	Unsigned/independent	2016-2019	https://www.metal-archives.com/bands/Abatter/3540447545
Brazil	N/A	Active	N/A	Black Metal	Death, Murder, Necrophilia	Catita Records	N/A	https://www.metal-archives.com/bands/Abattoir/3540500054
Brazil	Joinville, Santa Catarina	Changed name	2003	Death Metal	Genetics, Sickness, Violence, Death	Unsigned/independent	2003-2007, 2007-2010 (as S.O:M.A)	https://www.metal-archives.com/bands/Abbatoir/63564
Brazil	São Carlos, São Paulo	Active	2009	Death Metal	Evil, Anti-Christianity, Satanism	Unsigned/independent	2009-present	https://www.metal-archives.com/bands/Abdicated/3540368924
Brazil	Porto Alegre, Rio Grande do Sul (early); Tenerife, Canary Islands, Spain (later)	Active	2009	Black/Death Metal	N/A	Acid Vicious	2009-present	https://www.metal-archives.com/bands/Abductions/3540547265
Brazil	Laguna, Santa Catarina	Unknown	2011	Heavy/Thrash Metal	N/A	Unsigned/independent	2011-?	https://www.metal-archives.com/bands/Abeastnence/3540483513
Brazil	Poços de Caldas, Minas Gerais	Active	2013	Death Metal	Philosophy, History, Death, Depression, Politics, Sociology	Old Shadows Records	2013-present	https://www.metal-archives.com/bands/Aberratio/3540421124
Brazil	Ourinhos, São Paulo	Active	2001	Black/Death Metal	Anti-religion, Evil	Unsigned/independent	2001-2005, ?-present	https://www.metal-archives.com/bands/Aberration/13020
Brazil	São Paulo, São Paulo	Split-up	1991	Death Metal	Chaotic metaphoric themes	Erinnys Productions	1991-1993	https://www.metal-archives.com/bands/Abhor/41798
Brazil	Maceió, Alagoas (early); Pouso Alegre, Minas Gerais (later)	Active	2008	Black Metal	Christianity	Unsigned/independent	2008-present	https://www.metal-archives.com/bands/Abhorred_Devil/3540358931
Brazil	São José do Rio Preto, São Paulo	Split-up	1997	Death Metal	Anti-religion, War, Death, Blasphemy	Listenable Records	1997-?	https://www.metal-archives.com/bands/Abhorrence/402
Brazil	Brasília, Distrito Federal	Split-up	1988	Thrash/Groove Metal	Violence	Unsigned/independent	1988-?	https://www.metal-archives.com/bands/Abhorrent/276
Brazil	Recife, Pernambuco	Split-up	2001	Death Metal	War, Death, Disease	Unsigned/independent	2001-?	https://www.metal-archives.com/bands/Abhorrer/39724
Brazil	Ribeirão Preto, São Paulo	Active	2001	Thrash Metal/Crossover/Hardcore	Violence, Corruption, Rebellion, Society	Unsigned/independent	2001-present	https://www.metal-archives.com/bands/Abiosi/70828
Brazil	Natal, Rio Grande do Norte	Split-up	2014	Heavy Metal/Punk	Nihilism, Misanthropy, Violence, War, Pessimism, Apocalypse	Unsigned/independent	2014-2017	https://www.metal-archives.com/bands/Abiotix/3540407326
Brazil	N/A	Active	2014	Atmospheric/Depressive Black Metal	Pain, Depression, Suicide	Unsigned/independent	2014-present	https://www.metal-archives.com/bands/Abisma/3540395683
Brazil	Betim, Minas Gerais	Active	2016	Depressive Black Metal	Suicide, Depression, Loneliness, Socialism, Communism, Cosmic	Silentium in Foresta Records	2016-2018, 2018-present	https://www.metal-archives.com/bands/Abismika/3540412012
Brazil	São Paulo, São Paulo	Active	2014	Black Metal	Paganism, War, Evil, Darkness	Sphera Noctis Records	2014-present	https://www.metal-archives.com/bands/Abismo/3540399881
Brazil	Maceió, Alagoas	Active	1999	Groove/Thrash/Nu-Metal	N/A	Unsigned/independent	1999-present	https://www.metal-archives.com/bands/Abismo/3540519213
Brazil	Brasília, Distrito Federal	Active	2015	Doom/Stoner Metal	Fantasy, Doom, Consciousness, Creationism	Unsigned/independent	2015-present	https://www.metal-archives.com/bands/Abismo/3540410023
Brazil	Rio de Janeiro, Rio de Janeiro	Active	2005	Black Metal	Satanism	Unsigned/independent	2005-present	https://www.metal-archives.com/bands/Abismo_666/3540351818
Brazil	Santa Bárbara d'Oeste, São Paulo	Active	2004	Black Metal	Satanism, Anti-Christianity	Medieval Mark	2004-present	https://www.metal-archives.com/bands/Abismo_de_L%C3%BAcifer/63770
Brazil	São José dos Pinhais, Paraná	Split-up	N/A	Black Metal	N/A	Unsigned/independent	?-2024	https://www.metal-archives.com/bands/Abismo_Negro/3540472835
Brazil	São Paulo, São Paulo	Split-up	1985	Thrash Metal (early); Heavy Metal (later)	N/A	Unsigned/independent	1985-?	https://www.metal-archives.com/bands/Abismo_Negro/9634
Brazil	São Francisco do Sul, Santa Catarina	Split-up	1999	Black Metal	Darkness	Unsigned/independent	1999-2001, 2003-2011	https://www.metal-archives.com/bands/Abissal/88013
Brazil	Vila Velha, Espirito Santo	Active	2018	Black/Thrash Metal	Christianity	Unsigned/independent	2018-present	https://www.metal-archives.com/bands/Abisur/3540520569
Brazil	São Paulo	Active	2021	Experimental Black Metal	Introspection, Mysticism, Dreams, Mythology	Unsigned/independent	2021-2023, 2021-present	https://www.metal-archives.com/bands/Abjeto/3540505115
Brazil	Pelotas, Rio Grande do Sul	Split-up	2005	Melodic Death Metal	Philosophy	Unsigned/independent	2005-2009	https://www.metal-archives.com/bands/Ablaze/101513
Brazil	Santarém, Pará	Active	2018	Melodic Death/Groove Metal	N/A	Unsigned/independent	2018-present	https://www.metal-archives.com/bands/Able_to_Return/3540516844
Brazil	São Paulo, São Paulo	Unknown	2004	Black Metal	Paganism, Nature, War	Total Death Records	2004-?	https://www.metal-archives.com/bands/Abnegatum_Christus/76009
Brazil	São Paulo, São Paulo	Split-up	1997	Black Metal	Satanism, Horror, Misanthropy	Imperial Records	1997-2003	https://www.metal-archives.com/bands/Abolish/6237
Brazil	N/A	Active	N/A	Death/Doom Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Abomina%C3%A7%C3%A3o/3540478394
Brazil	Santa Mariana, Paraná	Active	2009	Thrash/Black Metal	Death, War	Unsigned/independent	2009-present	https://www.metal-archives.com/bands/Abominador/3540305955
